Depth,GR,MUD_VOLUME,TVD
1720.3536,118.0217,0.8515,1720.3536
1720.5035,122.9061,0.8633,1720.5035
1720.6534,128.0261,0.8662,1720.6534
1720.8033,131.4996,0.8623,1720.8033
1720.9532,134.0811,0.8671,1720.9532
1721.1031,135.971,0.8637,1721.1031
1721.253,137.9568,0.8515,1721.2531
1721.4029,140.0462,0.7906,1721.4029999999998
1721.5528,140.1053,0.882,1721.5529
1721.7027,136.2013,0.9079,1721.7028
1721.8526,129.5229,0.862,1721.8525
1722.0025,123.3647,0.8027,1722.0024
1722.1524,119.4193,0.7693,1722.1523
1722.3023,117.5711,0.7583,1722.3022
1722.4522,117.0748,0.7526,1722.4521
1722.6021,117.6355,0.7509999999999999,1722.6021
1722.7520000000004,119.982,0.7658,1722.7520000000004
1722.9019,124.3499,0.7948,1722.9019
1723.0518,128.9974,0.8229,1723.0518
1723.2017,131.2738,0.8311,1723.2017
1723.3516,130.2991,0.8155,1723.3516
1723.5015,127.3322,0.7921,1723.5015
1723.6514,124.158,0.7762,1723.6514
1723.8013,122.3733,0.7739,1723.8013
1723.9512,122.8187,0.7885,1723.9512
1724.1011,125.0155,0.8213,1724.1011
1724.251,127.7964,0.8527,1724.251
1724.4009,130.2437,0.8588,1724.4009
1724.5508,132.004,0.8382,1724.5508
1724.7007,133.0688,0.8066,1724.7007
1724.8506,133.3419,0.7116,1724.8506
1725.0005,132.6139,0.6975,1725.0005
1725.1504,130.8329,0.7057,1725.1504
1725.3003,128.4752,0.7872,1725.3003
1725.4502,126.965,0.8304,1725.4502
1725.6001,127.1981,0.8826,1725.6001
1725.75,127.7056,0.9113,1725.75
1725.8999,126.3243,0.8878,1725.8999
1726.0498,122.3999,0.8186,1726.0498
1726.1997,116.4442,0.7333,1726.1997
1726.3496,108.5126,0.6543,1726.3496
1726.4995,98.6252,0.5864,1726.4995
1726.6494,88.7655,0.4246,1726.6494
1726.7993,80.9797,0.1748,1726.7993
1726.9492,75.1708,0.1274,1726.9492
1727.0991,70.4734,0.097,1727.0991
1727.249,67.247,0.0702,1727.249
1727.3989,66.737,0.0577,1727.3989
1727.5488,70.2192,0.0757,1727.5488
1727.6987,78.5113,0.132,1727.6987
1727.8486,90.4235,0.2062,1727.8486
1727.9985,101.9183,0.2697,1727.9985
1728.1484,108.8189,0.3835,1728.1484
1728.2983,107.6651,0.4541,1728.2983
1728.4482,101.8501,0.6025,1728.4482
1728.5981,108.9506,0.5899,1728.5981
1728.7479999999996,115.415,0.5222,1728.7479999999996
1728.8979,121.1889,0.618,1728.8979
1729.0478,127.1403,0.6146,1729.0479
1729.1977,129.5576,0.5902,1729.1978
1729.3476,127.2336,0.509,1729.3477
1729.4975,123.5275,0.4484,1729.4976
1729.6474,121.222,0.4384,1729.6475
1729.7973,120.0394,0.3831,1729.7972
1729.9472,117.1707,0.312,1729.9471
1730.0971,109.6293,0.261,1730.0970000000002
1730.247,97.1877,0.2032,1730.2469
1730.3969,82.2266,0.1513,1730.3969
1730.5468,67.3989,0.1138,1730.5468
1730.6967,54.499,0.0794,1730.6967
1730.8466,44.5418,0.0515,1730.8466
1730.9965,38.1304,0.0338,1730.9965
1731.1464,34.9756,0.0258,1731.1464
1731.2963,34.4162,0.0231,1731.2963
1731.4462,35.8759,0.0228,1731.4462
1731.5961,38.3166,0.0253,1731.5961
1731.746,40.2223,0.0302,1731.746
1731.8959,40.5138,0.0337,1731.8959
1732.0458,39.3413,0.0327,1732.0458
1732.1957,37.788,0.0287,1732.1957
1732.3456,36.699,0.0257,1732.3456
1732.4955,36.2268,0.0253,1732.4955
1732.6454,36.2272,0.0264,1732.6454
1732.7953,36.5763,0.027000000000000003,1732.7953
1732.9452,37.1302,0.0273,1732.9452
1733.0951,37.5092,0.0297,1733.0951
1733.245,37.2963,0.0344,1733.245
1733.3949,36.5424,0.0367,1733.3949
1733.5448,36.0301,0.0344,1733.5448
1733.6947,36.5779,0.0326,1733.6947
1733.8446,38.0127,0.0361,1733.8446
1733.9945,39.2941,0.0411,1733.9945
1734.1444,39.4963,0.0416,1734.1444
1734.2943,38.7611,0.0396,1734.2943
1734.4442,37.9984,0.0398,1734.4442
1734.5941,37.461,0.0415,1734.5941
1734.744,36.9645,0.0437,1734.744
1734.8939,37.4252,0.0501,1734.8939
1735.0438,41.2394,0.0611,1735.0438
1735.1937,50.8727,0.0715,1735.1937
1735.3436,66.0874,0.0858,1735.3436
1735.4935,82.2449,0.1145,1735.4935
1735.6434,91.9713,0.1458,1735.6434
1735.7933,90.6223,0.1531,1735.7933
1735.9432,81.3432,0.1533,1735.9432
1736.0931,73.9689,0.1773,1736.0931
1736.243,77.2832,0.2616,1736.243
1736.3929,92.4001,0.3834,1736.3929
1736.5428,112.5361,0.5079,1736.5428
1736.6927,127.9111,0.5891,1736.6927
1736.8426,134.9973,0.5754,1736.8427
1736.9925,136.3354,0.7789,1736.9926
1737.1424,135.7991,0.7631,1737.1425
1737.2923,135.329,0.7709,1737.2924
1737.4422,134.7599,0.7904,1737.4423
1737.5921,135.0077,0.6438,1737.592
1737.7420000000004,135.3324,0.6598,1737.7419
1737.8919,131.1611,0.6604,1737.8918
1738.0418,124.6246,0.7562,1738.0417
1738.1917,132.4911,0.9559,1738.1917
1738.3416,136.0606,0.9849,1738.3416
1738.4915,134.1856,0.9917,1738.4915
1738.6414,131.0363,0.965,1738.6414
1738.7913,127.1477,0.9299,1738.7913
1738.9412,123.0721,0.9029,1738.9412
1739.0911,119.7607,0.8869,1739.0911
1739.241,118.3406,0.8618,1739.241
1739.3909,118.4538,0.8397,1739.3909
1739.5408,118.3964,0.8366,1739.5408
1739.6907,118.238,0.8323,1739.6907
1739.8406,119.3208,0.8266,1739.8406
1739.9905,121.3959,0.8146,1739.9905
1740.1404,122.8671,0.7856,1740.1404
1740.2903,123.6188,0.7733,1740.2903
1740.4402,124.74,0.7761,1740.4402
1740.5901,125.9367,0.7929,1740.5901
1740.74,125.2374,0.8142,1740.74
1740.8899,121.2764,0.8315,1740.8899
1741.0398,115.4631,0.8398,1741.0398
